Geography,North American Industry Classification System (NAICS),REF-Date,GDP
Newfoundland and Labrador,All industries  [T001] 5,2013,"30,873.00"
,,2014,"30,563.20"
,,2015,"30,194.20"
,,2016,"30,602.90"
,,2017,"31,002.70"
,,2018,"30,178.90"
,,2019,"31,359.10"
,,2020,"29,914.20"
,,2021,"30,230.70"
,,2022,"29,902.10"
,,2023,"28,949.30"
,"Agriculture, forestry, fishing and hunting  [11]",2013,902.3
,,2014,765.6
,,2015,783.6
,,2016,683.5
,,2017,596.9
,,2018,556.4
,,2019,508.1
,,2020,460.4
,,2021,550.2
,,2022,619.8
,,2023,605.6
,"Mining, quarrying, and oil and gas extraction  [21]",2013,"6,777.80"
,,2014,"6,385.30"
,,2015,"5,827.70"
,,2016,"6,658.00"
,,2017,"7,311.50"
,,2018,"7,147.40"
,,2019,"8,162.20"
,,2020,"8,473.60"
,,2021,"8,113.10"
,,2022,"7,404.20"
,,2023,"6,435.10"
,Utilities  [22],2013,710.3
,,2014,552.7
,,2015,620.4
,,2016,570.4
,,2017,580.3
,,2018,598.3
,,2019,634.8
,,2020,620.6
,,2021,651.8
,,2022,682.5
,,2023,755.7
,Construction  [23],2013,"3,907.60"
,,2014,"4,299.10"
,,2015,"4,195.40"
,,2016,"4,004.50"
,,2017,"3,828.00"
,,2018,"2,831.90"
,,2019,"2,816.20"
,,2020,"2,461.60"
,,2021,"2,248.30"
,,2022,"2,221.90"
,,2023,"2,279.60"
,Manufacturing  [31-33],2013,"1,180.70"
,,2014,"1,166.50"
,,2015,"1,402.10"
,,2016,"1,288.20"
,,2017,"1,285.10"
,,2018,"1,334.80"
,,2019,"1,300.40"
,,2020,992.6
,,2021,"1,139.00"
,,2022,968.1
,,2023,916.2
,Wholesale trade  [41],2013,775.9
,,2014,753.2
,,2015,731.1
,,2016,702.9
,,2017,687.8
,,2018,676.3
,,2019,687.5
,,2020,664.6
,,2021,679.2
,,2022,693.2
,,2023,696.7
,Retail trade  [44-45],2013,"1,686.90"
,,2014,"1,676.20"
,,2015,"1,639.30"
,,2016,"1,638.60"
,,2017,"1,629.50"
,,2018,"1,620.50"
,,2019,"1,646.10"
,,2020,"1,591.10"
,,2021,"1,658.80"
,,2022,"1,680.70"
,,2023,"1,722.20"
,Transportation and warehousing  [48-49],2013,808.2
,,2014,882.1
,,2015,944.2
,,2016,973
,,2017,"1,007.30"
,,2018,994.8
,,2019,"1,001.00"
,,2020,794.1
,,2021,758.4
,,2022,945.5
,,2023,967.5
,Information and cultural industries  [51],2013,699.2
,,2014,681.9
,,2015,703.2
,,2016,725.2
,,2017,706.9
,,2018,740.6
,,2019,768.3
,,2020,705.8
,,2021,725.2
,,2022,758.7
,,2023,746
,Finance and insurance  [52],2013,943.2
,,2014,942.7
,,2015,961
,,2016,978.1
,,2017,979.3
,,2018,972.1
,,2019,932.1
,,2020,946.8
,,2021,"1,005.40"
,,2022,967.2
,,2023,977.9
,Real estate and rental and leasing  [53],2013,"2,744.40"
,,2014,"2,848.30"
,,2015,"2,891.50"
,,2016,"2,932.00"
,,2017,"2,967.40"
,,2018,"3,019.90"
,,2019,"3,015.70"
,,2020,"2,977.80"
,,2021,"3,013.90"
,,2022,"3,090.20"
,,2023,"3,107.50"
,"Professional, scientific and technical services  [54]",2013,897.5
,,2014,965.8
,,2015,997.8
,,2016,986.8
,,2017,"1,009.50"
,,2018,"1,085.90"
,,2019,"1,154.50"
,,2020,"1,085.10"
,,2021,"1,113.90"
,,2022,"1,116.00"
,,2023,"1,216.00"
,Management of companies and enterprises  [55],2013,122.7
,,2014,110.1
,,2015,108.6
,,2016,90.1
,,2017,84.1
,,2018,66.2
,,2019,51.9
,,2020,37.6
,,2021,24.8
,,2022,17.2
,,2023,12
,"Administrative and support, waste management and remediation services  [56]",2013,405.4
,,2014,420.8
,,2015,410.3
,,2016,441
,,2017,436.3
,,2018,424.7
,,2019,432.5
,,2020,361.8
,,2021,366
,,2022,464.1
,,2023,491.1
,Educational services  [61],2013,"1,776.80"
,,2014,"1,746.30"
,,2015,"1,731.00"
,,2016,"1,756.20"
,,2017,"1,741.80"
,,2018,"1,799.30"
,,2019,"1,768.80"
,,2020,"1,686.80"
,,2021,"1,740.70"
,,2022,"1,729.00"
,,2023,"1,734.00"
,Health care and social assistance  [62],2013,"2,585.90"
,,2014,"2,590.60"
,,2015,"2,604.50"
,,2016,"2,624.70"
,,2017,"2,617.50"
,,2018,"2,683.40"
,,2019,"2,701.20"
,,2020,"2,688.00"
,,2021,"2,827.80"
,,2022,"3,026.50"
,,2023,"3,096.90"
,"Arts, entertainment and recreation  [71]",2013,78.7
,,2014,78.3
,,2015,79.2
,,2016,92.3
,,2017,99.4
,,2018,93.6
,,2019,91.9
,,2020,62
,,2021,66.5
,,2022,76.9
,,2023,83.9
,Accommodation and food services  [72],2013,547.7
,,2014,585.5
,,2015,594.2
,,2016,593.9
,,2017,594.2
,,2018,581.2
,,2019,604.5
,,2020,393.8
,,2021,476.2
,,2022,590.1
,,2023,620.7
,Other services (except public administration)  [81],2013,526.1
,,2014,527.1
,,2015,527.6
,,2016,507.7
,,2017,518.2
,,2018,525.9
,,2019,514.1
,,2020,439.7
,,2021,479.1
,,2022,501.7
,,2023,524.3
,Public administration  [91],2013,"2,334.80"
,,2014,"2,294.70"
,,2015,"2,311.40"
,,2016,"2,304.80"
,,2017,"2,321.80"
,,2018,"2,421.70"
,,2019,"2,448.70"
,,2020,"2,366.00"
,,2021,"2,545.40"
,,2022,"2,585.00"
,,2023,"2,563.60"
Prince Edward Island,All industries  [T001] 5,2013,"5,668.80"
,,2014,"5,673.60"
,,2015,"5,761.70"
,,2016,"5,886.10"
,,2017,"6,156.60"
,,2018,"6,270.00"
,,2019,"6,562.20"
,,2020,"6,378.80"
,,2021,"6,876.80"
,,2022,"7,223.70"
,,2023,"7,433.00"
,"Agriculture, forestry, fishing and hunting  [11]",2013,437.6
,,2014,414.4
,,2015,415.1
,,2016,427.3
,,2017,441.9
,,2018,431.4
,,2019,494.6
,,2020,414.9
,,2021,534.8
,,2022,546.9
,,2023,520.8
,"Mining, quarrying, and oil and gas extraction  [21]",2013,2.8
,,2014,3.2
,,2015,2.8
,,2016,5.1
,,2017,5.4
,,2018,3.8
,,2019,3.4
,,2020,3.2
,,2021,3.3
,,2022,2.1
,,2023,2.2
,Utilities  [22],2013,82.9
,,2014,83.2
,,2015,82.1
,,2016,85
,,2017,95.2
,,2018,98.3
,,2019,101.2
,,2020,98.5
,,2021,101.4
,,2022,106.2
,,2023,112
,Construction  [23],2013,346.9
,,2014,308
,,2015,292
,,2016,318.3
,,2017,393.2
,,2018,408.5
,,2019,469.5
,,2020,487.9
,,2021,591.9
,,2022,591.6
,,2023,518.7
,Manufacturing  [31-33],2013,459.7
,,2014,498.8
,,2015,580.2
,,2016,626.5
,,2017,690.9
,,2018,700.4
,,2019,725.7
,,2020,741.5
,,2021,706.2
,,2022,784.6
,,2023,853.3
,Wholesale trade  [41],2013,134
,,2014,134.9
,,2015,121.4
,,2016,120.6
,,2017,122.8
,,2018,126.7
,,2019,138.1
,,2020,139.6
,,2021,148
,,2022,149.6
,,2023,137.5
,Retail trade  [44-45],2013,399.5
,,2014,396.4
,,2015,395.4
,,2016,409.2
,,2017,404.5
,,2018,419.6
,,2019,434.7
,,2020,427.3
,,2021,468.5
,,2022,473.1
,,2023,490.7
,Transportation and warehousing  [48-49],2013,180.5
,,2014,184.9
,,2015,196.9
,,2016,210
,,2017,221.9
,,2018,215.1
,,2019,210
,,2020,160.9
,,2021,164.2
,,2022,187.1
,,2023,188.3
,Information and cultural industries  [51],2013,163.1
,,2014,170.8
,,2015,180.2
,,2016,175.3
,,2017,173
,,2018,157.2
,,2019,162.1
,,2020,163.2
,,2021,167.5
,,2022,178.4
,,2023,191.9
,Finance and insurance  [52],2013,292
,,2014,292.8
,,2015,300.4
,,2016,303.1
,,2017,323.8
,,2018,324.3
,,2019,321.8
,,2020,329.5
,,2021,330.8
,,2022,329
,,2023,334.5
,Real estate and rental and leasing  [53],2013,716.6
,,2014,723.8
,,2015,736.6
,,2016,747.8
,,2017,774.1
,,2018,804.5
,,2019,835.4
,,2020,874.4
,,2021,916.4
,,2022,977.6
,,2023,"1,015.60"
,"Professional, scientific and technical services  [54]",2013,151
,,2014,150.3
,,2015,170.5
,,2016,182.6
,,2017,198.1
,,2018,207.1
,,2019,220.5
,,2020,222.8
,,2021,242.7
,,2022,263.7
,,2023,293.6
,Management of companies and enterprises  [55],2013,37.6
,,2014,34.4
,,2015,30.7
,,2016,25.2
,,2017,21
,,2018,17.3
,,2019,14.4
,,2020,9.5
,,2021,6.1
,,2022,4.5
,,2023,3.2
,"Administrative and support, waste management and remediation services  [56]",2013,161.3
,,2014,160.2
,,2015,149.6
,,2016,121.5
,,2017,120.8
,,2018,123.5
,,2019,119.1
,,2020,106.8
,,2021,121.9
,,2022,118
,,2023,119.3
,Educational services  [61],2013,420.2
,,2014,418
,,2015,412.8
,,2016,411.2
,,2017,420
,,2018,429.3
,,2019,432.5
,,2020,423
,,2021,451.6
,,2022,453.1
,,2023,485.5
,Health care and social assistance  [62],2013,595.8
,,2014,611.4
,,2015,618.2
,,2016,628.4
,,2017,636.8
,,2018,651.7
,,2019,681.7
,,2020,668.1
,,2021,719.5
,,2022,737.6
,,2023,766.5
,"Arts, entertainment and recreation  [71]",2013,59
,,2014,59.6
,,2015,53
,,2016,52.1
,,2017,51.7
,,2018,56
,,2019,59.6
,,2020,46.3
,,2021,50.6
,,2022,71.2
,,2023,76
,Accommodation and food services  [72],2013,168.1
,,2014,174.1
,,2015,176
,,2016,184.4
,,2017,188.4
,,2018,193.6
,,2019,213.3
,,2020,146
,,2021,200.7
,,2022,251.7
,,2023,259.3
,Other services (except public administration)  [81],2013,125.5
,,2014,129.8
,,2015,125.5
,,2016,123.7
,,2017,130.3
,,2018,133
,,2019,136.1
,,2020,123.1
,,2021,137.1
,,2022,144.6
,,2023,155.7
,Public administration  [91],2013,740.6
,,2014,727.8
,,2015,724.4
,,2016,730.2
,,2017,742.7
,,2018,768.2
,,2019,792.3
,,2020,787.4
,,2021,837.8
,,2022,870.9
,,2023,919.8
Nova Scotia,All industries  [T001] 5,2013,"37,296.70"
,,2014,"37,695.70"
,,2015,"38,016.70"
,,2016,"38,593.30"
,,2017,"39,329.20"
,,2018,"40,065.50"
,,2019,"41,449.70"
,,2020,"39,612.10"
,,2021,"42,167.10"
,,2022,"44,279.30"
,,2023,"45,333.50"
,"Agriculture, forestry, fishing and hunting  [11]",2013,"1,459.10"
,,2014,"1,489.10"
,,2015,"1,467.20"
,,2016,"1,403.40"
,,2017,"1,340.60"
,,2018,"1,269.70"
,,2019,"1,358.50"
,,2020,"1,176.50"
,,2021,"1,229.40"
,,2022,"1,218.40"
,,2023,"1,189.50"
,"Mining, quarrying, and oil and gas extraction  [21]",2013,327
,,2014,463.4
,,2015,264.2
,,2016,249.6
,,2017,255.2
,,2018,310.7
,,2019,296.1
,,2020,284.2
,,2021,218.6
,,2022,249.4
,,2023,238.4
,Utilities  [22],2013,783.3
,,2014,809.9
,,2015,802
,,2016,838.2
,,2017,842.3
,,2018,865
,,2019,872.8
,,2020,857.9
,,2021,878.9
,,2022,884.1
,,2023,876.7
,Construction  [23],2013,"2,245.00"
,,2014,"2,110.20"
,,2015,"2,101.30"
,,2016,"2,264.20"
,,2017,"2,483.70"
,,2018,"2,230.40"
,,2019,"2,508.20"
,,2020,"2,413.00"
,,2021,"2,775.60"
,,2022,"3,137.20"
,,2023,"3,049.70"
,Manufacturing  [31-33],2013,"2,688.10"
,,2014,"2,730.20"
,,2015,"2,774.60"
,,2016,"2,762.10"
,,2017,"2,794.20"
,,2018,"2,893.60"
,,2019,"3,090.30"
